By Year,TEAM,GP,MIN,%FGA,%FGA.1,%PTS,%PTS.1,%PTS.2,%PTS.3,%PTS.4,%PTS.5,%PTS.6,2FGM,2FGM.1,3FGM,3FGM.1,FGM,FGM.1,player_name,player_id
2020-21,CLE,54,33.1,66.8,33.2,54.6,8.5,33.5,11.2,11.9,15.2,46.1,30.7,69.3,70.5,29.5,42.3,57.7,Darius Garland,44
2019-20,CLE,59,30.9,57.7,42.3,48.1,15.9,43.3,8.9,8.6,14.0,32.1,28.0,72.0,73.3,26.7,45.0,55.0,Darius Garland,44
2024-25,SAC,34,37.2,69.0,31.0,58.9,10.3,23.1,11.8,18.0,15.8,48.6,28.4,71.6,58.6,41.4,34.6,65.4,Deaaron Fox,9
2023-24,SAC,74,35.9,62.6,37.4,51.5,8.3,32.7,13.9,15.8,15.3,43.1,19.8,80.2,62.6,37.4,32.5,67.5,Deaaron Fox,9
2022-23,SAC,73,33.4,72.4,27.6,61.7,13.0,19.6,13.3,18.7,11.2,48.6,16.0,84.0,61.3,38.7,23.9,76.1,Deaaron Fox,9
2021-22,SAC,59,35.3,77.2,22.8,64.7,14.3,16.2,11.9,19.1,11.3,50.3,21.5,78.5,55.4,44.6,26.4,73.6,Deaaron Fox,9
2020-21,SAC,58,35.1,71.2,28.8,58.3,9.2,21.1,13.5,20.6,15.1,49.1,16.0,84.0,52.4,47.6,23.1,76.9,Deaaron Fox,9
2019-20,SAC,51,32.0,77.3,22.7,62.6,7.8,15.0,16.8,22.4,15.7,54.8,14.5,85.5,61.1,38.9,21.0,79.0,Deaaron Fox,9
2018-19,SAC,81,31.4,78.9,21.1,59.9,11.6,18.4,24.9,21.7,23.2,48.3,17.2,82.8,52.3,47.7,23.2,76.8,Deaaron Fox,9
2017-18,SAC,73,27.7,80.8,19.2,66.6,20.1,16.7,18.8,16.7,16.4,46.4,21.7,78.3,61.7,38.3,27.4,72.6,Deaaron Fox,9
