Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Mar 09, 2018 - LAL @ DEN",L,28:34:00,18,6,12,50,0,0,0,6,9,66.7,1,5,6,4,1,0,4,4,-6,
"Mar 07, 2018 - LAL vs. ORL",W,30:10:00,12,6,11,54.5,0,0,0,0,1,0,2,9,11,3,0,0,2,3,3,
"Mar 05, 2018 - LAL vs. POR",L,33:35:00,21,7,14,50,0,0,0,7,8,87.5,0,9,9,2,2,0,3,4,7,
"Mar 03, 2018 - LAL @ SAS",W,33:16:00,25,8,15,53.3,0,0,0,9,11,81.8,2,4,6,3,1,1,1,4,5,
"Mar 01, 2018 - LAL @ MIA",W,33:56:00,25,8,13,61.5,0,1,0,9,9,100,1,5,6,2,1,1,2,2,15,
"Feb 26, 2018 - LAL @ ATL",W,29:37:00,19,8,13,61.5,0,0,0,3,3,100,4,6,10,2,1,1,3,2,15,
"Feb 24, 2018 - LAL @ SAC",W,37:36:00,12,6,12,50,0,0,0,0,5,0,5,8,13,6,2,1,4,5,20,
"Feb 23, 2018 - LAL vs. DAL",W,30:22:00,18,9,14,64.3,0,0,0,0,1,0,3,10,13,10,0,0,3,2,27,
"Feb 15, 2018 - LAL @ MIN",L,31:28:00,23,8,15,53.3,0,1,0,7,9,77.8,2,7,9,2,2,1,3,6,-17,
"Feb 14, 2018 - LAL @ NOP",L,31:25:00,20,9,13,69.2,0,0,0,2,2,100,1,4,5,3,0,1,4,3,-24,
"Feb 10, 2018 - LAL @ DAL",L,37:01:00,26,10,14,71.4,0,0,0,6,8,75,2,6,8,7,0,0,5,6,-8,
"Feb 08, 2018 - LAL vs. OKC",W,28:26:00,17,8,16,50,0,1,0,1,1,100,3,3,6,2,0,1,2,1,10,
"Feb 06, 2018 - LAL vs. PHX",W,27:24:00,21,9,13,69.2,0,0,0,3,5,60,1,7,8,5,0,1,3,1,12,
"Feb 04, 2018 - LAL @ OKC",W,33:16:00,19,7,15,46.7,1,2,50,4,8,50,1,5,6,4,1,1,4,3,7,
"Feb 02, 2018 - LAL @ BKN",W,32:06:00,19,9,16,56.3,0,0,0,1,2,50,4,8,12,2,0,0,5,1,0,
"Jan 31, 2018 - LAL @ ORL",L,26:43:00,20,7,9,77.8,0,0,0,6,7,85.7,3,6,9,1,0,0,3,3,-21,
"Jan 28, 2018 - LAL @ TOR",L,24:42:00,17,5,11,45.5,0,0,0,7,8,87.5,4,6,10,5,0,0,1,3,-12,
"Jan 26, 2018 - LAL @ CHI",W,27:31:00,14,5,9,55.6,0,1,0,4,5,80,2,4,6,3,1,0,1,3,8,
"Jan 23, 2018 - LAL vs. BOS",W,26:12:00,14,6,12,50,0,0,0,2,3,66.7,5,9,14,1,1,0,2,3,-3,
"Jan 21, 2018 - LAL vs. NYK",W,36:33:00,27,11,17,64.7,0,1,0,5,6,83.3,4,8,12,5,1,0,2,4,18,
"Jan 19, 2018 - LAL vs. IND",W,20:21,14,7,12,58.3,0,0,0,0,2,0,1,3,4,2,1,1,0,3,-9,
"Jan 17, 2018 - LAL @ OKC",L,23:26,16,8,11,72.7,0,2,0,0,0,0,0,1,1,3,0,1,3,3,-24,
"Jan 15, 2018 - LAL @ MEM",L,21:39,9,2,7,28.6,0,2,0,5,5,100,4,4,8,1,1,1,1,2,-7,
"Jan 13, 2018 - LAL @ DAL",W,33:33:00,23,9,15,60,0,0,0,5,6,83.3,3,12,15,2,0,0,7,5,12,
"Jan 11, 2018 - LAL vs. SAS",W,17:34,0,0,6,0,0,0,0,0,0,0,1,5,6,1,0,0,2,3,-17,
"Jan 09, 2018 - LAL vs. SAC",W,30:20:00,22,8,13,61.5,1,1,100,5,6,83.3,3,11,14,6,1,0,6,1,33,
"Jan 07, 2018 - LAL vs. ATL",W,22:55,15,4,11,36.4,0,2,0,7,8,87.5,3,6,9,4,1,0,2,4,-1,
"Jan 05, 2018 - LAL vs. CHA",L,27:31:00,15,5,9,55.6,0,0,0,5,5,100,4,6,10,2,0,0,3,2,-2,
"Jan 03, 2018 - LAL vs. OKC",L,21:03,9,3,6,50,0,0,0,3,4,75,1,4,5,2,1,0,3,2,-8,
"Jan 01, 2018 - LAL @ MIN",L,28:26:00,15,6,10,60,0,0,0,3,4,75,5,7,12,0,1,1,4,2,-15,
"Dec 31, 2017 - LAL @ HOU",L,33:03:00,29,13,19,68.4,0,0,0,3,6,50,4,11,15,6,0,1,4,6,8,
"Dec 29, 2017 - LAL vs. LAC",L,28:31:00,18,8,16,50,0,0,0,2,4,50,5,2,7,2,1,1,1,4,-16,
"Dec 27, 2017 - LAL vs. MEM",L,11:01,6,2,5,40,0,0,0,2,6,33.3,1,2,3,0,0,0,1,2,-9,
Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,
"Apr 12, 2017 - LAL @ GSW",L,24:27:00,13,6,10,60,0,0,0,1,1,100,1,7,8,3,0,0,1,1,-12,
"Apr 11, 2017 - LAL vs. NOP",W,15:42,11,4,7,57.1,0,0,0,3,4,75,0,5,5,2,0,0,0,4,-2,
"Apr 09, 2017 - LAL vs. MIN",W,27:35:00,13,5,9,55.6,0,2,0,3,5,60,3,5,8,2,1,1,2,3,-5,
"Apr 07, 2017 - LAL vs. SAC",W,33:40:00,25,10,13,76.9,0,2,0,5,7,71.4,4,1,5,2,0,0,2,3,0,
"Apr 05, 2017 - LAL @ SAS",W,28:46:00,11,4,10,40,0,1,0,3,3,100,1,7,8,3,0,1,3,3,2,
"Apr 02, 2017 - LAL vs. MEM",W,35:49:00,18,6,12,50,1,4,25,5,6,83.3,3,8,11,0,1,1,1,0,-4,
