Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Feb 26, 2017 - TOR vs. POR",W,5:56,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,3,5,
"Feb 15, 2017 - TOR vs. CHA",W,12:00,2,1,3,33.3,0,0,0,0,0,0,2,4,6,2,0,0,2,2,22,
"Feb 14, 2017 - TOR @ CHI",L,17:52,4,2,2,100,0,0,0,0,0,0,0,1,1,1,0,1,1,1,-3,
"Feb 12, 2017 - TOR vs. DET",L,19:31,5,2,3,66.7,0,0,0,1,2,50,2,2,4,0,1,0,0,2,8,
"Feb 08, 2017 - TOR @ MIN",L,15:37,4,2,2,100,0,0,0,0,0,0,1,3,4,1,1,0,0,1,3,
"Feb 06, 2017 - TOR vs. LAC",W,9:19,3,1,2,50,0,0,0,1,1,100,1,2,3,0,0,0,1,2,1,
"Feb 05, 2017 - TOR @ BKN",W,7:20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,
"Feb 01, 2017 - TOR @ BOS",L,9:27,4,2,2,100,0,0,0,0,0,0,3,1,4,0,0,0,0,1,-4,
"Jan 20, 2017 - TOR @ CHA",L,9:07,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,1,1,3,-12,
"Jan 18, 2017 - TOR @ PHI",L,3:52,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,-3,
"Jan 17, 2017 - TOR @ BKN",W,14:49,2,1,1,100,0,0,0,0,0,0,0,2,2,1,0,1,1,2,5,
"Jan 15, 2017 - TOR vs. NYK",W,3:56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-14,
"Jan 13, 2017 - TOR vs. BKN",W,8:23,4,1,2,50,0,0,0,2,2,100,1,0,1,0,1,0,0,3,-5,
"Jan 10, 2017 - TOR vs. BOS",W,6:28,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-8,
"Jan 07, 2017 - TOR @ CHI",L,1:25,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,
